Special Thanks to Riley’s Ride/F150chief for the TCU Info below,,,,,,
Address,Values,,,Telematics Control Module TCU 754-XX-XX,,Notes
,,,,"TCU J-Series (JL3T, etc.)",,
754-01-01,*xxx,xxxx,xx--,RF Section (RFSE) & APIM Type (AT)  ,,
,,,,"0=RF Disabled, AT Not Configured","8=RF Enabled, AT Not Configured",
,,,,"1=RF Disabled, AT Gen1","9=RF Enabled, AT Gen1",
,,,,"2=RF Disabled, AT Gen2","A=RF Enabled, AT Gen2",
,,,,"3=RF Disabled, AT Gen3","B=RF Enabled, AT Gen3",
,,,,"4=RF Disabled, AT No APIM Present","C=RF Enabled, AT No APIM Present",
,,,,"5=RF Disabled, AT Reserved","D=RF Enabled, AT Reserved",
,,,,"6=RF Disabled, AT Reserved","E=RF Enabled, AT Reserved",
,,,,"7=RF Disabled, AT Reserved","F=RF Enabled, AT Reserved",
754-01-01,x*xx,xxxx,xx--,Engine Type,,
,,,,0=Not Configured,8=Gas/Plug In Electric Vehicle (PHEV),
,,,,1=Gasoline,9=Reserved,
,,,,2=Diesel,A=Reserved,
,,,,3=Gas/Electric Hybrid (FHEV),B=Reserved,
,,,,4=Hydrogen Fuel Cell,C=Reserved,
,,,,5=Diesel/Electric Hybrid,D=Reserved,
,,,,6=Compressed Natural Gas (CNG),E=Reserved,
,,,,7=Electric Only,F=Reserved,
754-01-01,xx**,xxxx,xx--,Vehicle Architecture (VA) & TCU Dest Region (TDR) & Optional Configuration State (OCS),,
,,,,"00=VA Not Configured, TDR Not Configured, OCS Configured","60=VA CGEA 1.3, TDR Not Configured, OCS Configured",CGEA=Common Global Electrical Architecture
,,,,"01=VA Not Configured, TDR Not Configured, OCS Not Configured","61=VA CGEA 1.3, TDR Not Configured, OCS Not Configured ",OCS=CS In-Vehicle Content
,,,,"02=VA Not Configured, TDR North America, OCS Configured","62=VA CGEA 1.3, TDR North America, OCS Configured",
,,,,"03=VA Not Configured, TDR North America, OCS Not Configured","63=VA CGEA 1.3, TDR North America, OCS Not Configured",
,,,,"04=VA Not Configured, TDR Russia, OCS Configured","64=VA CGEA 1.3, TDR Russia, OCS Configured",
,,,,"05=VA Not Configured, TDR Russia, OCS Not Configured","65=VA CGEA 1.3, TDR Russia, OCS Not Configured",
,,,,"06=VA Not Configured, TDR China, OCS Configured","66=VA CGEA 1.3, TDR China, OCS Configured",
,,,,"07=VA Not Configured, TDR China, OCS Not Configured","67=VA CGEA 1.3, TDR China, OCS Not Configured",
,,,,"08=VA Not Configured, TDR EU, OCS Configured","68=VA CGEA 1.3, TDR EU, OCS Configured",
,,,,"09=VA Not Configured, TDR EU, OCS Not Configured","69=VA CGEA 1.3, TDR EU, OCS Not Configured",
,,,,"0A=VA Not Configured, TDR South America, OCS Configured","6A=VA CGEA 1.3, TDR South America, OCS Configured",
